Observing com.apple.TextEdit (pid 46436) for 20s — drive the app now…

  [   3.312] AXValueChanged  role=AXPopUpButton title=-
  [   3.326] AXValueChanged  role=AXPopUpButton title=-
  [   3.326] AXValueChanged  role=AXPopUpButton title=-
  [   3.326] AXValueChanged  role=AXPopUpButton title=-
  [   3.326] AXValueChanged  role=AXComboBox title=-
  [   3.327] AXValueChanged  role=AXComboBox title=-
  [   3.327] AXValueChanged  role=AXPopUpButton title=-
  [   3.327] AXValueChanged  role=AXPopUpButton title=-
  [   3.327] AXValueChanged  role=AXPopUpButton title=-
  [   3.327] AXValueChanged  role=AXComboBox title=-
  [   3.328] AXValueChanged  role=AXComboBox title=-
  [   3.328] AXValueChanged  role=AXMenuButton title=-
  [   3.328] AXValueChanged  role=AXMenuButton title=-
  [   3.328] AXValueChanged  role=AXPopUpButton title=-
  [   3.328] AXValueChanged  role=AXPopUpButton title=-
  [   3.329] AXValueChanged  role=AXPopUpButton title=-
  [   3.329] AXValueChanged  role=AXPopUpButton title=-
  [   3.329] AXSelectedTextChanged  role=AXTextArea title=-
  [   3.329] AXValueChanged  role=AXPopUpButton title=-
  [   3.329] AXValueChanged  role=AXPopUpButton title=-
  [   3.330] AXValueChanged  role=AXPopUpButton title=-
  [   3.330] AXValueChanged  role=AXPopUpButton title=-
  [   3.330] AXValueChanged  role=AXComboBox title=-
  [   3.330] AXValueChanged  role=AXComboBox title=-
  [   3.330] AXValueChanged  role=AXPopUpButton title=-
  [   3.331] AXValueChanged  role=AXPopUpButton title=-
  [   3.331] AXValueChanged  role=AXPopUpButton title=-
  [   3.331] AXValueChanged  role=AXComboBox title=-
  [   3.331] AXValueChanged  role=AXComboBox title=-
  [   3.331] AXValueChanged  role=AXMenuButton title=-
  [   3.332] AXValueChanged  role=AXMenuButton title=-
  [   3.332] AXValueChanged  role=AXPopUpButton title=-
  [   3.332] AXValueChanged  role=AXPopUpButton title=-
  [   3.332] AXValueChanged  role=AXPopUpButton title=-
  [   3.332] AXValueChanged  role=AXPopUpButton title=-
  [   3.333] AXValueChanged  role=AXTextArea title=-
  [   3.353] AXFocusedUIElementChanged  role=AXTextArea title=-
  [   3.475] AXValueChanged  role=AXPopUpButton title=-
  [   3.492] AXValueChanged  role=AXPopUpButton title=-
  [   3.492] AXValueChanged  role=AXPopUpButton title=-
  [   3.492] AXValueChanged  role=AXPopUpButton title=-
  [   3.492] AXValueChanged  role=AXComboBox title=-
  [   3.492] AXValueChanged  role=AXComboBox title=-
  [   3.493] AXValueChanged  role=AXPopUpButton title=-
  [   3.493] AXValueChanged  role=AXPopUpButton title=-
  [   3.493] AXValueChanged  role=AXPopUpButton title=-
  [   3.493] AXValueChanged  role=AXPopUpButton title=-
  [   3.494] AXValueChanged  role=AXComboBox title=-
  [   3.494] AXValueChanged  role=AXComboBox title=-
  [   3.494] AXValueChanged  role=AXMenuButton title=-
  [   3.494] AXValueChanged  role=AXMenuButton title=-
  [   3.494] AXValueChanged  role=AXPopUpButton title=-
  [   3.495] AXValueChanged  role=AXPopUpButton title=-
  [   3.495] AXValueChanged  role=AXPopUpButton title=-
  [   3.495] AXValueChanged  role=AXPopUpButton title=-
  [   3.495] AXSelectedTextChanged  role=AXTextArea title=-
  [   3.496] AXValueChanged  role=AXPopUpButton title=-
  [   3.496] AXValueChanged  role=AXPopUpButton title=-
  [   3.496] AXValueChanged  role=AXPopUpButton title=-
  [   3.496] AXValueChanged  role=AXPopUpButton title=-
  [   3.496] AXValueChanged  role=AXComboBox title=-
  [   3.497] AXValueChanged  role=AXComboBox title=-
  [   3.497] AXValueChanged  role=AXPopUpButton title=-
  [   3.497] AXValueChanged  role=AXPopUpButton title=-
  [   3.497] AXValueChanged  role=AXPopUpButton title=-
  [   3.498] AXValueChanged  role=AXComboBox title=-
  [   3.498] AXValueChanged  role=AXComboBox title=-
  [   3.498] AXValueChanged  role=AXMenuButton title=-
  [   3.498] AXValueChanged  role=AXMenuButton title=-
  [   3.498] AXValueChanged  role=AXPopUpButton title=-
  [   3.499] AXValueChanged  role=AXPopUpButton title=-
  [   3.499] AXValueChanged  role=AXPopUpButton title=-
  [   3.499] AXValueChanged  role=AXPopUpButton title=-
  [   3.499] AXValueChanged  role=AXTextArea title=-
  [   4.006] AXSelectedTextChanged  role=AXTextArea title=-

— notification counts —
  AXValueChanged                           161
  AXFocusedUIElementChanged                8
  AXSelectedTextChanged                    8
  AXMenuItemSelected                       4
  AXWindowCreated                          1
  AXUIElementDestroyed                     1
  AXApplicationActivated                   1

  total: 184   rate: 9.20 events/sec
